Nation,Mean,Level
Singapore,616,Proficient
Chinese Taipei,612,Proficient
"Korea, Rep. of",607,Proficient
Japan,594,Proficient
Hong Kong SAR,578,Proficient
Russian Federation,543,Basic
Ireland,524,Basic
Lithuania,520,Basic
Israel,519,Basic
Australia,517,Basic
Hungary,517,Basic
United States,515,Basic
England,515,Basic
Finland,509,Basic
Norway,503,Basic
Sweden,503,Basic
Cyprus,501,Basic
Portugal,500,Basic
Italy,497,Basic
Turkey,496,Basic
Kazakhstan,488,Basic
France,483,Basic
New Zealand,482,Basic
Bahrain,481,Basic
Romania,479,Basic
United Arab Emirates,473,Basic
Georgia,461,Below Basic
Malaysia,461,Below Basic
"Iran, Islamic Rep. of",446,Below Basic
Qatar,443,Below Basic
Chile,441,Below Basic
Lebanon,429,Below Basic
Jordan,420,Below Basic
Egypt,413,Below Basic
Oman,411,Below Basic
Kuwait,403,Below Basic
Saudi Arabia,394,Below Basic
South Africa,389,Below Basic
Morocco,388,Below Basic
